Country,Year,Attack_Type,Target_Industry,Financial_Loss_Million,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_Time_Hours,Resolution_Speed,Severity_Level,Attack_Impact_Score,Cyber_Risk_Score,Damage_Category,User_Impact_Category,Year_Group,Defense_Effectiveness
Australia,2020,DDoS,Banking,92.95,942890,Insider,"Weak Passwords",Antivirus,19,Moderate,Critical,53.10,44.75,"Extreme Loss",Massive,2018-2020,"Highly Effective"
France,2022,Malware,Healthcare,20.33,794906,Unknown,"Weak Passwords","AI-based Detection",36,Moderate,Low,19.75,18.51,"Minor Loss",High,2021-2024,"Moderately Effective"
Australia,2016,"SQL Injection",Government,27.33,481293,"Hacker Group","Unpatched Software",Antivirus,65,Slow,Medium,28.11,25.86,"Moderate Loss",Medium,2015-2017,"Needs Improvement"
India,2016,DDoS,Education,21.01,602692,"Hacker Group","Unpatched Software",VPN,29,Moderate,Low,18.11,16.61,"Minor Loss",High,2015-2017,"Moderately Effective"
UK,2018,Man-in-the-Middle,Retail,13.66,455529,"Hacker Group",Zero-day,Firewall,40,Slow,Low,16.20,15.29,"Minor Loss",Medium,2018-2020,"Moderately Effective"
Japan,2017,Phishing,Telecommunications,75.84,383395,"Hacker Group",Zero-day,VPN,31,Moderate,Critical,45.27,38.07,"Major Loss",Medium,2015-2017,"Moderately Effective"
USA,2023,DDoS,Retail,59.69,113612,"Hacker Group",Zero-day,VPN,70,Slow,High,44.19,38.33,"Major Loss",Low,2021-2024,"Needs Improvement"
Australia,2019,Malware,Government,21.72,984411,Insider,"Unpatched Software",Antivirus,17,Moderate,Low,17.21,16.03,"Minor Loss",Massive,2018-2020,"Highly Effective"
UK,2015,Phishing,IT,85.58,17229,"Hacker Group","Weak Passwords","AI-based Detection",30,Moderate,Critical,48.84,40.30,"Extreme Loss",Low,2015-2017,"Moderately Effective"
France,2018,Phishing,Healthcare,75.11,581303,Insider,"Social Engineering",Encryption,51,Slow,Critical,49.50,42.57,"Major Loss",High,2018-2020,"Needs Improvement"
India,2019,Man-in-the-Middle,Education,10.80,799474,Nation-state,Zero-day,"AI-based Detection",23,Moderate,Low,12.40,12.12,"Minor Loss",High,2018-2020,"Highly Effective"
India,2020,DDoS,Banking,86.27,898655,Nation-state,"Unpatched Software","AI-based Detection",10,Fast,Critical,47.83,40.10,"Extreme Loss",Massive,2018-2020,"Highly Effective"
UK,2021,Malware,Healthcare,67.10,698852,Unknown,"Weak Passwords",Antivirus,57,Slow,High,47.05,41.04,"Major Loss",High,2021-2024,"Needs Improvement"
India,2018,DDoS,Healthcare,76.43,304162,"Hacker Group","Unpatched Software",Firewall,56,Slow,Critical,50.33,42.99,"Major Loss",Medium,2018-2020,"Needs Improvement"
Brazil,2015,Phishing,Banking,43.40,191625,"Hacker Group","Social Engineering",VPN,65,Slow,Medium,35.27,31.13,"Moderate Loss",Low,2015-2017,"Needs Improvement"
Australia,2024,Phishing,Education,93.32,93185,Unknown,"Unpatched Software",VPN,14,Moderate,Critical,49.74,40.50,"Extreme Loss",Low,2021-2024,"Highly Effective"
India,2019,Phishing,Healthcare,35.60,40718,Nation-state,Zero-day,VPN,24,Moderate,Medium,22.72,19.20,"Moderate Loss",Low,2018-2020,"Highly Effective"
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,Slow,Medium,35.30,31.33,"Moderate Loss",Medium,2015-2017,"Needs Improvement"
India,2024,DDoS,Education,73.37,475719,Nation-state,"Social Engineering",Firewall,52,Slow,High,48.51,41.65,"Major Loss",Medium,2021-2024,"Needs Improvement"
UK,2018,Malware,Retail,73.18,404060,Unknown,"Weak Passwords",Antivirus,32,Moderate,High,44.20,37.29,"Major Loss",Medium,2018-2020,"Moderately Effective"
China,2024,Malware,Education,72.35,132726,"Hacker Group",Zero-day,Firewall,55,Slow,High,47.57,40.47,"Major Loss",Low,2021-2024,"Needs Improvement"
UK,2016,DDoS,Banking,87.68,336376,Nation-state,"Social Engineering",Firewall,11,Fast,Critical,47.05,38.62,"Extreme Loss",Medium,2015-2017,"Highly Effective"
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,"Weak Passwords",Encryption,63,Slow,High,47.88,41.73,"Major Loss",High,2021-2024,"Needs Improvement"
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,"Weak Passwords",Antivirus,16,Moderate,Critical,45.86,37.83,"Extreme Loss",Medium,2015-2017,"Highly Effective"
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,Moderate,Medium,22.92,21.05,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
China,2021,Phishing,Healthcare,55.04,871600,Insider,"Unpatched Software",Firewall,29,Moderate,High,35.93,31.30,"Major Loss",Massive,2021-2024,"Moderately Effective"
Brazil,2015,DDoS,IT,43.51,940656,Unknown,"Weak Passwords","AI-based Detection",41,Slow,Medium,32.78,29.37,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,"Social Engineering",Firewall,66,Slow,Low,24.46,22.68,"Minor Loss",Medium,2015-2017,"Needs Improvement"
UK,2019,Phishing,IT,78.19,28321,Insider,"Unpatched Software",Antivirus,63,Slow,Critical,51.78,43.99,"Major Loss",Low,2018-2020,"Needs Improvement"
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,Fast,Medium,17.88,15.44,"Moderate Loss",Medium,2021-2024,"Highly Effective"
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,"Unpatched Software",VPN,25,Moderate,Critical,51.58,43.76,"Extreme Loss",Massive,2018-2020,"Moderately Effective"
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,"AI-based Detection",56,Slow,Low,24.19,21.95,"Minor Loss",Medium,2021-2024,"Needs Improvement"
France,2017,Phishing,Banking,17.88,16585,"Hacker Group","Unpatched Software",Encryption,12,Fast,Low,11.39,9.62,"Minor Loss",Low,2015-2017,"Highly Effective"
USA,2022,Ransomware,Education,21.01,787752,Nation-state,"Weak Passwords",Antivirus,9,Fast,Low,14.67,13.36,"Minor Loss",High,2021-2024,"Highly Effective"
Russia,2022,"SQL Injection",Banking,60.25,662517,Unknown,"Social Engineering",Firewall,40,Slow,High,40.11,34.75,"Major Loss",High,2021-2024,"Moderately Effective"
Brazil,2018,Malware,Education,6.63,274509,"Hacker Group",Zero-day,Encryption,20,Moderate,Low,8.14,7.75,"Minor Loss",Medium,2018-2020,"Highly Effective"
France,2024,Phishing,Government,5.80,508649,"Hacker Group","Unpatched Software",Firewall,66,Slow,Low,17.63,17.55,"Minor Loss",High,2021-2024,"Needs Improvement"
Brazil,2021,DDoS,IT,70.26,740257,Unknown,"Weak Passwords",Encryption,70,Slow,High,51.35,45.07,"Major Loss",High,2021-2024,"Needs Improvement"
Australia,2024,Malware,Healthcare,62.08,969504,"Hacker Group","Social Engineering","AI-based Detection",5,Fast,High,34.95,29.71,"Major Loss",Massive,2021-2024,"Highly Effective"
Germany,2016,Man-in-the-Middle,Healthcare,90.20,779494,Nation-state,"Social Engineering","AI-based Detection",54,Slow,Critical,58.24,50.00,"Extreme Loss",High,2015-2017,"Needs Improvement"
Japan,2019,Malware,Banking,44.17,605166,Insider,"Weak Passwords",Encryption,27,Moderate,Medium,29.30,25.49,"Moderate Loss",High,2018-2020,"Moderately Effective"
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,Slow,High,41.61,36.37,"Major Loss",Medium,2021-2024,"Needs Improvement"
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,Moderate,Medium,29.80,26.31,"Moderate Loss",High,2018-2020,"Moderately Effective"
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,"Unpatched Software",Antivirus,68,Slow,Medium,30.53,27.40,"Moderate Loss",Low,2015-2017,"Needs Improvement"
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,"Social Engineering","AI-based Detection",69,Slow,Low,21.85,20.49,"Minor Loss",Low,2021-2024,"Needs Improvement"
India,2020,"SQL Injection",Education,62.50,550656,Nation-state,"Weak Passwords",Encryption,4,Fast,High,33.70,28.00,"Major Loss",High,2018-2020,"Highly Effective"
Australia,2017,"SQL Injection",Healthcare,68.91,634048,"Hacker Group","Unpatched Software",Firewall,66,Slow,High,49.56,43.30,"Major Loss",High,2015-2017,"Needs Improvement"
UK,2023,DDoS,Banking,81.26,547495,Nation-state,"Weak Passwords","AI-based Detection",3,Fast,Critical,42.87,35.29,"Extreme Loss",High,2021-2024,"Highly Effective"
UK,2024,DDoS,Healthcare,58.31,487694,"Hacker Group","Weak Passwords",Antivirus,41,Slow,High,38.82,33.47,"Major Loss",Medium,2021-2024,"Moderately Effective"
France,2023,Man-in-the-Middle,Retail,88.65,427067,"Hacker Group","Unpatched Software",Antivirus,42,Slow,Critical,54.01,45.57,"Extreme Loss",Medium,2021-2024,"Moderately Effective"
Australia,2023,Malware,Telecommunications,1.51,954902,"Hacker Group","Unpatched Software","AI-based Detection",55,Slow,Low,14.62,15.42,"Minor Loss",Massive,2021-2024,"Needs Improvement"
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,"Weak Passwords",Firewall,53,Slow,Medium,35.60,30.81,"Moderate Loss",Low,2018-2020,"Needs Improvement"
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,"Social Engineering",Firewall,1,Fast,Critical,43.03,34.77,"Extreme Loss",Low,2021-2024,"Highly Effective"
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,"Unpatched Software","AI-based Detection",15,Moderate,Critical,50.12,41.67,"Extreme Loss",High,2021-2024,"Highly Effective"
UK,2021,DDoS,Education,80.26,276593,Nation-state,"Social Engineering",Encryption,36,Moderate,Critical,48.16,40.41,"Extreme Loss",Medium,2021-2024,"Moderately Effective"
Japan,2023,Malware,Education,22.87,975282,Insider,"Unpatched Software",Firewall,49,Slow,Low,24.16,22.85,"Minor Loss",Massive,2021-2024,"Needs Improvement"
India,2018,Ransomware,Retail,23.79,486810,"Hacker Group","Unpatched Software",Antivirus,11,Fast,Low,15.56,13.66,"Minor Loss",Medium,2018-2020,"Highly Effective"
Japan,2021,Ransomware,IT,35.43,969517,"Hacker Group","Weak Passwords",Firewall,25,Moderate,Medium,25.62,23.05,"Moderate Loss",Massive,2021-2024,"Moderately Effective"
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,Moderate,High,41.44,34.11,"Major Loss",Low,2021-2024,"Highly Effective"
Japan,2022,"SQL Injection",IT,66.66,749545,Unknown,"Social Engineering","AI-based Detection",30,Moderate,High,41.58,35.66,"Major Loss",High,2021-2024,"Moderately Effective"
Brazil,2015,Malware,Retail,78.13,71743,"Hacker Group","Unpatched Software",VPN,35,Moderate,Critical,46.28,38.54,"Major Loss",Low,2015-2017,"Moderately Effective"
Germany,2018,Phishing,Banking,11.39,969684,"Hacker Group","Weak Passwords",Antivirus,41,Slow,Low,16.80,16.63,"Minor Loss",Massive,2018-2020,"Moderately Effective"
Germany,2020,"SQL Injection",Education,87.84,842506,Unknown,"Weak Passwords",Antivirus,19,Moderate,Critical,50.25,42.31,"Extreme Loss",Massive,2018-2020,"Highly Effective"
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,"Social Engineering",Encryption,41,Slow,Low,16.09,16.01,"Minor Loss",Massive,2021-2024,"Moderately Effective"
UK,2019,Malware,Education,4.42,393748,Nation-state,"Unpatched Software","AI-based Detection",10,Fast,Low,5.39,5.34,"Minor Loss",Medium,2018-2020,"Highly Effective"
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,"Weak Passwords",Encryption,37,Slow,Critical,48.02,41.03,"Major Loss",High,2018-2020,"Moderately Effective"
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,Slow,High,45.23,38.04,"Major Loss",Low,2018-2020,"Moderately Effective"
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,"Social Engineering",VPN,35,Moderate,Low,13.27,13.20,"Minor Loss",High,2018-2020,"Moderately Effective"
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,"Unpatched Software",Antivirus,51,Slow,Low,22.30,20.06,"Minor Loss",Low,2018-2020,"Needs Improvement"
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,"Unpatched Software",VPN,55,Slow,Critical,58.25,49.26,"Extreme Loss",Medium,2015-2017,"Needs Improvement"
USA,2021,Malware,Retail,71.11,961868,"Hacker Group","Unpatched Software",Antivirus,57,Slow,High,49.84,43.69,"Major Loss",Massive,2021-2024,"Needs Improvement"
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,Moderate,High,35.89,30.62,"Major Loss",Medium,2021-2024,"Moderately Effective"
UK,2024,Phishing,Government,81.26,993903,Unknown,"Weak Passwords",Firewall,25,Moderate,Critical,48.61,41.48,"Extreme Loss",Massive,2021-2024,"Moderately Effective"
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,"Social Engineering","AI-based Detection",34,Moderate,Low,11.00,10.44,"Minor Loss",Low,2021-2024,"Moderately Effective"
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,"Unpatched Software",Encryption,25,Moderate,High,35.23,30.30,"Major Loss",High,2021-2024,"Moderately Effective"
Russia,2021,Malware,IT,83.76,920983,Insider,"Social Engineering",Encryption,24,Moderate,Critical,49.44,41.99,"Extreme Loss",Massive,2021-2024,"Highly Effective"
UK,2023,"SQL Injection",Banking,85.64,875790,Nation-state,"Unpatched Software",Firewall,36,Moderate,Critical,52.65,44.96,"Extreme Loss",Massive,2021-2024,"Moderately Effective"
Russia,2016,Malware,Retail,61.39,415274,"Hacker Group","Weak Passwords",Encryption,40,Slow,High,39.94,34.22,"Major Loss",Medium,2015-2017,"Moderately Effective"
Russia,2023,Ransomware,Banking,42.14,222293,"Hacker Group","Social Engineering",VPN,38,Slow,Medium,29.34,25.35,"Moderate Loss",Medium,2021-2024,"Moderately Effective"
France,2021,Man-in-the-Middle,Retail,94.40,357092,Unknown,"Unpatched Software",VPN,71,Slow,Critical,62.47,53.39,"Extreme Loss",Medium,2021-2024,"Needs Improvement"
Australia,2021,Malware,Telecommunications,84.68,708291,"Hacker Group",Zero-day,"AI-based Detection",54,Slow,Critical,55.26,47.51,"Extreme Loss",High,2021-2024,"Needs Improvement"
Russia,2024,Malware,Banking,93.33,517610,Nation-state,"Social Engineering",Firewall,35,Moderate,Critical,55.22,46.40,"Extreme Loss",High,2021-2024,"Moderately Effective"
Germany,2023,Malware,Government,70.46,368803,"Hacker Group","Unpatched Software",VPN,23,Moderate,High,40.94,34.26,"Major Loss",Medium,2021-2024,"Highly Effective"
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,"Unpatched Software",Firewall,62,Slow,Medium,38.02,33.57,"Moderate Loss",Medium,2021-2024,"Needs Improvement"
India,2018,Phishing,IT,69.03,282139,"Hacker Group","Unpatched Software",Encryption,37,Slow,High,42.76,36.14,"Major Loss",Medium,2018-2020,"Moderately Effective"
China,2018,Malware,IT,49.19,117543,Insider,"Social Engineering",Encryption,22,Moderate,Medium,29.35,24.55,"Moderate Loss",Low,2018-2020,"Highly Effective"
France,2016,Phishing,Government,27.20,536925,Unknown,Zero-day,Encryption,62,Slow,Medium,27.61,25.43,"Moderate Loss",High,2015-2017,"Needs Improvement"
France,2023,Ransomware,Retail,64.08,238068,Unknown,"Unpatched Software",VPN,61,Slow,High,44.95,38.78,"Major Loss",Medium,2021-2024,"Needs Improvement"
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,"Social Engineering",VPN,32,Moderate,Medium,25.75,21.94,"Moderate Loss",Low,2021-2024,"Moderately Effective"
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,Slow,Critical,50.65,42.83,"Extreme Loss",Medium,2018-2020,"Moderately Effective"
France,2015,Malware,Education,15.76,424,Nation-state,"Unpatched Software",Antivirus,58,Slow,Low,19.48,17.91,"Minor Loss",Low,2015-2017,"Needs Improvement"
USA,2021,"SQL Injection",Telecommunications,82.24,982969,Unknown,"Unpatched Software",Encryption,64,Slow,Critical,56.87,49.63,"Extreme Loss",Massive,2021-2024,"Needs Improvement"
Germany,2021,Malware,Government,82.72,219703,Nation-state,"Social Engineering",Firewall,33,Moderate,Critical,48.62,40.57,"Extreme Loss",Medium,2021-2024,"Moderately Effective"
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,"Unpatched Software",VPN,12,Fast,Low,13.47,12.11,"Minor Loss",High,2015-2017,"Highly Effective"
UK,2017,"SQL Injection",IT,53.39,576110,Insider,"Unpatched Software",Antivirus,37,Slow,High,35.82,31.06,"Major Loss",High,2015-2017,"Moderately Effective"
UK,2017,Man-in-the-Middle,Government,48.90,177154,Unknown,Zero-day,Antivirus,68,Slow,Medium,38.58,33.87,"Moderate Loss",Low,2015-2017,"Needs Improvement"
France,2017,"SQL Injection",Healthcare,60.77,212177,"Hacker Group","Social Engineering",Encryption,2,Fast,High,31.42,25.56,"Major Loss",Medium,2015-2017,"Highly Effective"
Germany,2021,DDoS,Banking,91.24,8787,"Hacker Group","Unpatched Software",Encryption,55,Slow,Critical,56.65,47.53,"Extreme Loss",Low,2021-2024,"Needs Improvement"
USA,2015,Phishing,Education,41.36,291727,Insider,"Social Engineering",Encryption,31,Moderate,Medium,27.76,23.91,"Moderate Loss",Medium,2015-2017,"Moderately Effective"
Germany,2022,DDoS,IT,78.18,987652,"Hacker Group","Social Engineering",VPN,72,Slow,Critical,56.45,49.62,"Major Loss",Massive,2021-2024,"Needs Improvement"
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,"Social Engineering",Antivirus,38,Slow,Low,16.39,15.01,"Minor Loss",Medium,2021-2024,"Moderately Effective"
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,Fast,Low,8.64,7.29,"Minor Loss",Medium,2018-2020,"Highly Effective"
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,Slow,Medium,30.41,27.54,"Moderate Loss",High,2018-2020,"Needs Improvement"
France,2015,"SQL Injection",Retail,61.41,694844,Insider,"Unpatched Software",Antivirus,43,Slow,High,41.39,35.94,"Major Loss",High,2015-2017,"Moderately Effective"
France,2018,"SQL Injection",Retail,53.72,795831,Nation-state,"Unpatched Software",Encryption,61,Slow,High,41.45,36.87,"Major Loss",High,2018-2020,"Needs Improvement"
Brazil,2020,DDoS,Retail,17.40,342253,Unknown,"Weak Passwords",Encryption,22,Moderate,Low,14.13,12.73,"Minor Loss",Medium,2018-2020,"Highly Effective"
USA,2016,Phishing,Retail,75.94,638693,Nation-state,"Weak Passwords","AI-based Detection",35,Moderate,Critical,46.89,39.93,"Major Loss",High,2015-2017,"Moderately Effective"
USA,2018,Phishing,Banking,55.90,618616,Insider,Zero-day,VPN,51,Slow,High,40.01,35.03,"Major Loss",High,2018-2020,"Needs Improvement"
Brazil,2023,"SQL Injection",Retail,56.76,774426,"Hacker Group","Social Engineering","AI-based Detection",21,Moderate,High,34.90,30.00,"Major Loss",High,2021-2024,"Highly Effective"
Australia,2023,DDoS,Government,76.25,900661,Insider,"Unpatched Software",Encryption,64,Slow,Critical,53.63,46.90,"Major Loss",Massive,2021-2024,"Needs Improvement"
India,2019,Phishing,Telecommunications,75.23,141627,Insider,"Unpatched Software","AI-based Detection",64,Slow,Critical,50.84,43.46,"Major Loss",Low,2018-2020,"Needs Improvement"
Germany,2024,Phishing,IT,3.93,845785,Unknown,"Unpatched Software",VPN,69,Slow,Low,18.30,18.76,"Minor Loss",Massive,2021-2024,"Needs Improvement"
